,statement,status
280,trouble relaxing at night,Anxiety
281,hard to calm my mind,Anxiety
282,trouble relaxing at night,Anxiety
283,trouble relaxing at night,Anxiety
284,feeling on edge,Anxiety
285,can't stop overthinking,Anxiety
286,feeling tense for no reason,Anxiety
287,nervous without cause,Anxiety
288,can't stop overthinking,Anxiety
289,mind keeps spinning,Anxiety
290,feeling on edge,Anxiety
291,restless and uneasy,Anxiety
292,can't stop overthinking,Anxiety
293,mind keeps spinning,Anxiety
294,heart racing all day,Anxiety
295,can't stop overthinking,Anxiety
296,mind keeps spinning,Anxiety
297,mind keeps spinning,Anxiety
298,sweaty palms and racing heart,Anxiety
299,nervous without cause,Anxiety
300,trouble relaxing at night,Anxiety
301,feeling on edge,Anxiety
302,restless and uneasy,Anxiety
303,hard to calm my mind,Anxiety
304,restless and uneasy,Anxiety
305,feeling on edge,Anxiety
306,mind keeps spinning,Anxiety
307,feeling tense for no reason,Anxiety
308,sweaty palms and racing heart,Anxiety
309,feeling on edge,Anxiety
310,sweaty palms and racing heart,Anxiety
311,mind keeps spinning,Anxiety
312,can't stop overthinking,Anxiety
313,restless and uneasy,Anxiety
314,feeling on edge,Anxiety
315,trouble relaxing at night,Anxiety
316,hard to calm my mind,Anxiety
317,heart racing all day,Anxiety
318,trouble relaxing at night,Anxiety
319,restless and uneasy,Anxiety
320,hard to calm my mind,Anxiety
321,restless and uneasy,Anxiety
322,feeling on edge,Anxiety
323,sweaty palms and racing heart,Anxiety
324,hard to calm my mind,Anxiety
325,mind keeps spinning,Anxiety
326,can't stop overthinking,Anxiety
327,feeling on edge,Anxiety
328,feeling on edge,Anxiety
329,feeling tense for no reason,Anxiety
330,feeling on edge,Anxiety
331,restless and uneasy,Anxiety
332,can't stop overthinking,Anxiety
333,trouble relaxing at night,Anxiety
334,feeling on edge,Anxiety
335,trouble relaxing at night,Anxiety
336,can't stop overthinking,Anxiety
337,sweaty palms and racing heart,Anxiety
338,can't stop overthinking,Anxiety
339,nervous without cause,Anxiety
340,mind keeps spinning,Anxiety
341,nervous without cause,Anxiety
342,feeling on edge,Anxiety
343,sweaty palms and racing heart,Anxiety
344,feeling on edge,Anxiety
345,heart racing all day,Anxiety
346,trouble relaxing at night,Anxiety
347,nervous without cause,Anxiety
348,nervous without cause,Anxiety
349,sweaty palms and racing heart,Anxiety
350,mind keeps spinning,Anxiety
351,sweaty palms and racing heart,Anxiety
352,trouble relaxing at night,Anxiety
353,can't stop overthinking,Anxiety
354,restless and uneasy,Anxiety
355,heart racing all day,Anxiety
356,restless and uneasy,Anxiety
357,can't stop overthinking,Anxiety
358,feeling on edge,Anxiety
359,nervous without cause,Anxiety
360,mind keeps spinning,Anxiety
361,restless and uneasy,Anxiety
362,trouble relaxing at night,Anxiety
363,mind keeps spinning,Anxiety
364,heart racing all day,Anxiety
365,restless and uneasy,Anxiety
366,feeling on edge,Anxiety
367,trouble relaxing at night,Anxiety
368,hard to calm my mind,Anxiety
369,feeling tense for no reason,Anxiety
370,can't stop overthinking,Anxiety
371,restless and uneasy,Anxiety
372,nervous without cause,Anxiety
373,hard to calm my mind,Anxiety
374,hard to calm my mind,Anxiety
375,hard to calm my mind,Anxiety
376,hard to calm my mind,Anxiety
377,feeling on edge,Anxiety
378,feeling tense for no reason,Anxiety
379,trouble relaxing at night,Anxiety
380,trouble relaxing at night,Anxiety
381,can't stop overthinking,Anxiety
382,can't stop overthinking,Anxiety
383,heart racing all day,Anxiety
384,hard to calm my mind,Anxiety
385,hard to calm my mind,Anxiety
386,can't stop overthinking,Anxiety
387,trouble relaxing at night,Anxiety
388,can't stop overthinking,Anxiety
389,nervous without cause,Anxiety
390,feeling tense for no reason,Anxiety
391,trouble relaxing at night,Anxiety
392,can't stop overthinking,Anxiety
393,feeling on edge,Anxiety
394,hard to calm my mind,Anxiety
395,feeling on edge,Anxiety
396,mind keeps spinning,Anxiety
397,trouble relaxing at night,Anxiety
398,feeling on edge,Anxiety
399,trouble relaxing at night,Anxiety
400,can't stop overthinking,Anxiety
401,feeling on edge,Anxiety
402,heart racing all day,Anxiety
403,feeling on edge,Anxiety
404,restless and uneasy,Anxiety
405,mind keeps spinning,Anxiety
406,feeling tense for no reason,Anxiety
407,hard to calm my mind,Anxiety
408,hard to calm my mind,Anxiety
409,nervous without cause,Anxiety
410,can't stop overthinking,Anxiety
411,trouble relaxing at night,Anxiety
412,hard to calm my mind,Anxiety
413,feeling on edge,Anxiety
414,feeling tense for no reason,Anxiety
415,restless and uneasy,Anxiety
416,feeling tense for no reason,Anxiety
417,feeling on edge,Anxiety
418,sweaty palms and racing heart,Anxiety
419,feeling on edge,Anxiety
420,heart racing all day,Anxiety
421,trouble relaxing at night,Anxiety
422,nervous without cause,Anxiety
423,trouble relaxing at night,Anxiety
424,feeling on edge,Anxiety
425,can't stop overthinking,Anxiety
426,heart racing all day,Anxiety
427,feeling on edge,Anxiety
428,heart racing all day,Anxiety
429,heart racing all day,Anxiety
430,trouble relaxing at night,Anxiety
431,feeling tense for no reason,Anxiety
432,trouble relaxing at night,Anxiety
433,restless and uneasy,Anxiety
434,mind keeps spinning,Anxiety
435,mind keeps spinning,Anxiety
436,restless and uneasy,Anxiety
437,trouble relaxing at night,Anxiety
438,hard to calm my mind,Anxiety
439,restless and uneasy,Anxiety
440,restless and uneasy,Anxiety
441,feeling on edge,Anxiety
442,feeling on edge,Anxiety
443,can't stop overthinking,Anxiety
444,restless and uneasy,Anxiety
445,feeling on edge,Anxiety
446,mind keeps spinning,Anxiety
447,can't stop overthinking,Anxiety
448,can't stop overthinking,Anxiety
449,hard to calm my mind,Anxiety
450,sweaty palms and racing heart,Anxiety
451,heart racing all day,Anxiety
452,sweaty palms and racing heart,Anxiety
453,nervous without cause,Anxiety
454,sweaty palms and racing heart,Anxiety
455,trouble relaxing at night,Anxiety
456,nervous without cause,Anxiety
457,can't stop overthinking,Anxiety
458,sweaty palms and racing heart,Anxiety
459,hard to calm my mind,Anxiety
460,mind keeps spinning,Anxiety
461,nervous without cause,Anxiety
462,heart racing all day,Anxiety
463,mind keeps spinning,Anxiety
464,feeling tense for no reason,Anxiety
465,nervous without cause,Anxiety
466,sweaty palms and racing heart,Anxiety
467,feeling on edge,Anxiety
468,can't stop overthinking,Anxiety
469,feeling on edge,Anxiety
470,feeling on edge,Anxiety
471,can't stop overthinking,Anxiety
472,feeling on edge,Anxiety
473,feeling tense for no reason,Anxiety
474,can't stop overthinking,Anxiety
475,can't stop overthinking,Anxiety
476,can't stop overthinking,Anxiety
477,hard to calm my mind,Anxiety
478,nervous without cause,Anxiety
479,feeling on edge,Anxiety
480,feeling on edge,Anxiety
481,can't stop overthinking,Anxiety
482,sweaty palms and racing heart,Anxiety
483,mind keeps spinning,Anxiety
484,sweaty palms and racing heart,Anxiety
485,hard to calm my mind,Anxiety
486,heart racing all day,Anxiety
487,can't stop overthinking,Anxiety
488,nervous without cause,Anxiety
489,feeling on edge,Anxiety
490,heart racing all day,Anxiety
491,nervous without cause,Anxiety
492,restless and uneasy,Anxiety
493,nervous without cause,Anxiety
494,feeling on edge,Anxiety
495,feeling on edge,Anxiety
496,hard to calm my mind,Anxiety
497,trouble relaxing at night,Anxiety
498,mind keeps spinning,Anxiety
499,mind keeps spinning,Anxiety
500,sweaty palms and racing heart,Anxiety
501,trouble relaxing at night,Anxiety
502,feeling tense for no reason,Anxiety
503,sweaty palms and racing heart,Anxiety
504,restless and uneasy,Anxiety
505,trouble relaxing at night,Anxiety
506,heart racing all day,Anxiety
507,sweaty palms and racing heart,Anxiety
508,trouble relaxing at night,Anxiety
509,nervous without cause,Anxiety
510,heart racing all day,Anxiety
511,trouble relaxing at night,Anxiety
512,feeling tense for no reason,Anxiety
513,can't stop overthinking,Anxiety
514,feeling on edge,Anxiety
515,sweaty palms and racing heart,Anxiety
516,heart racing all day,Anxiety
517,heart racing all day,Anxiety
518,can't stop overthinking,Anxiety
519,feeling on edge,Anxiety
520,trouble relaxing at night,Anxiety
521,feeling on edge,Anxiety
522,sweaty palms and racing heart,Anxiety
523,restless and uneasy,Anxiety
524,heart racing all day,Anxiety
525,can't stop overthinking,Anxiety
526,sweaty palms and racing heart,Anxiety
527,feeling tense for no reason,Anxiety
528,sweaty palms and racing heart,Anxiety
529,feeling on edge,Anxiety
530,sweaty palms and racing heart,Anxiety
531,heart racing all day,Anxiety
532,heart racing all day,Anxiety
533,hard to calm my mind,Anxiety
534,mind keeps spinning,Anxiety
535,feeling on edge,Anxiety
536,nervous without cause,Anxiety
537,sweaty palms and racing heart,Anxiety
538,sweaty palms and racing heart,Anxiety
539,trouble relaxing at night,Anxiety
540,sweaty palms and racing heart,Anxiety
541,nervous without cause,Anxiety
542,nervous without cause,Anxiety
543,restless and uneasy,Anxiety
544,heart racing all day,Anxiety
545,feeling on edge,Anxiety
546,hard to calm my mind,Anxiety
547,nervous without cause,Anxiety
548,heart racing all day,Anxiety
549,heart racing all day,Anxiety
550,trouble relaxing at night,Anxiety
551,heart racing all day,Anxiety
552,trouble relaxing at night,Anxiety
553,can't stop overthinking,Anxiety
554,hard to calm my mind,Anxiety
555,feeling on edge,Anxiety
556,hard to calm my mind,Anxiety
557,feeling tense for no reason,Anxiety
558,can't stop overthinking,Anxiety
559,can't stop overthinking,Anxiety
560,nervous without cause,Anxiety
561,feeling on edge,Anxiety
562,sweaty palms and racing heart,Anxiety
563,feeling on edge,Anxiety
564,heart racing all day,Anxiety
565,trouble relaxing at night,Anxiety
566,sweaty palms and racing heart,Anxiety
567,sweaty palms and racing heart,Anxiety
568,restless and uneasy,Anxiety
569,hard to calm my mind,Anxiety
570,restless and uneasy,Anxiety
571,sweaty palms and racing heart,Anxiety
572,restless and uneasy,Anxiety
573,can't stop overthinking,Anxiety
574,restless and uneasy,Anxiety
575,feeling on edge,Anxiety
576,mind keeps spinning,Anxiety
577,nervous without cause,Anxiety
578,mind keeps spinning,Anxiety
579,hard to calm my mind,Anxiety
580,nervous without cause,Anxiety
581,sweaty palms and racing heart,Anxiety
582,feeling on edge,Anxiety
583,hard to calm my mind,Anxiety
584,heart racing all day,Anxiety
585,feeling tense for no reason,Anxiety
586,feeling tense for no reason,Anxiety
587,feeling on edge,Anxiety
588,feeling on edge,Anxiety
589,restless and uneasy,Anxiety
590,heart racing all day,Anxiety
591,mind keeps spinning,Anxiety
592,sweaty palms and racing heart,Anxiety
593,restless and uneasy,Anxiety
594,feeling tense for no reason,Anxiety
595,trouble relaxing at night,Anxiety
596,mind keeps spinning,Anxiety
597,feeling on edge,Anxiety
598,feeling on edge,Anxiety
599,mind keeps spinning,Anxiety
600,mind keeps spinning,Anxiety
601,sweaty palms and racing heart,Anxiety
602,feeling tense for no reason,Anxiety
603,restless and uneasy,Anxiety
604,heart racing all day,Anxiety
605,nervous without cause,Anxiety
606,nervous without cause,Anxiety
607,sweaty palms and racing heart,Anxiety
608,heart racing all day,Anxiety
609,feeling on edge,Anxiety
610,heart racing all day,Anxiety
611,heart racing all day,Anxiety
612,sweaty palms and racing heart,Anxiety
613,feeling tense for no reason,Anxiety
614,feeling on edge,Anxiety
615,trouble relaxing at night,Anxiety
616,hard to calm my mind,Anxiety
617,feeling tense for no reason,Anxiety
618,can't stop overthinking,Anxiety
619,mind keeps spinning,Anxiety
620,hard to calm my mind,Anxiety
621,hard to calm my mind,Anxiety
622,nervous without cause,Anxiety
623,sweaty palms and racing heart,Anxiety
624,feeling tense for no reason,Anxiety
625,nervous without cause,Anxiety
626,sweaty palms and racing heart,Anxiety
627,heart racing all day,Anxiety
628,feeling tense for no reason,Anxiety
629,sweaty palms and racing heart,Anxiety
630,can't stop overthinking,Anxiety
631,sweaty palms and racing heart,Anxiety
632,mind keeps spinning,Anxiety
633,feeling on edge,Anxiety
634,heart racing all day,Anxiety
635,mind keeps spinning,Anxiety
636,heart racing all day,Anxiety
637,heart racing all day,Anxiety
638,feeling on edge,Anxiety
639,hard to calm my mind,Anxiety
640,restless and uneasy,Anxiety
641,nervous without cause,Anxiety
642,restless and uneasy,Anxiety
643,mind keeps spinning,Anxiety
644,mind keeps spinning,Anxiety
645,can't stop overthinking,Anxiety
646,restless and uneasy,Anxiety
647,feeling tense for no reason,Anxiety
648,can't stop overthinking,Anxiety
649,hard to calm my mind,Anxiety
650,mind keeps spinning,Anxiety
651,sweaty palms and racing heart,Anxiety
652,sweaty palms and racing heart,Anxiety
653,can't stop overthinking,Anxiety
654,mind keeps spinning,Anxiety
655,can't stop overthinking,Anxiety
656,heart racing all day,Anxiety
657,restless and uneasy,Anxiety
658,nervous without cause,Anxiety
659,restless and uneasy,Anxiety
660,heart racing all day,Anxiety
661,heart racing all day,Anxiety
662,heart racing all day,Anxiety
663,trouble relaxing at night,Anxiety
664,nervous without cause,Anxiety
665,mind keeps spinning,Anxiety
666,nervous without cause,Anxiety
667,trouble relaxing at night,Anxiety
668,feeling on edge,Anxiety
669,feeling tense for no reason,Anxiety
670,nervous without cause,Anxiety
671,trouble relaxing at night,Anxiety
672,feeling tense for no reason,Anxiety
673,feeling tense for no reason,Anxiety
674,feeling on edge,Anxiety
675,heart racing all day,Anxiety
676,mind keeps spinning,Anxiety
677,nervous without cause,Anxiety
678,can't stop overthinking,Anxiety
679,sweaty palms and racing heart,Anxiety
680,can't stop overthinking,Anxiety
681,heart racing all day,Anxiety
682,feeling on edge,Anxiety
683,feeling on edge,Anxiety
684,can't stop overthinking,Anxiety
685,can't stop overthinking,Anxiety
686,trouble relaxing at night,Anxiety
687,nervous without cause,Anxiety
688,can't stop overthinking,Anxiety
689,sweaty palms and racing heart,Anxiety
690,heart racing all day,Anxiety
691,mind keeps spinning,Anxiety
692,feeling on edge,Anxiety
693,hard to calm my mind,Anxiety
694,feeling tense for no reason,Anxiety
695,heart racing all day,Anxiety
696,mind keeps spinning,Anxiety
697,sweaty palms and racing heart,Anxiety
698,hard to calm my mind,Anxiety
699,heart racing all day,Anxiety
700,sweaty palms and racing heart,Anxiety
701,heart racing all day,Anxiety
702,heart racing all day,Anxiety
703,trouble relaxing at night,Anxiety
704,feeling on edge,Anxiety
705,feeling on edge,Anxiety
706,feeling on edge,Anxiety
707,restless and uneasy,Anxiety
708,restless and uneasy,Anxiety
709,heart racing all day,Anxiety
710,sweaty palms and racing heart,Anxiety
711,restless and uneasy,Anxiety
712,trouble relaxing at night,Anxiety
713,nervous without cause,Anxiety
714,restless and uneasy,Anxiety
715,heart racing all day,Anxiety
716,restless and uneasy,Anxiety
717,nervous without cause,Anxiety
718,can't stop overthinking,Anxiety
719,nervous without cause,Anxiety
720,feeling tense for no reason,Anxiety
721,sweaty palms and racing heart,Anxiety
722,hard to calm my mind,Anxiety
723,feeling tense for no reason,Anxiety
724,restless and uneasy,Anxiety
725,can't stop overthinking,Anxiety
726,sweaty palms and racing heart,Anxiety
727,feeling tense for no reason,Anxiety
728,sweaty palms and racing heart,Anxiety
729,heart racing all day,Anxiety
730,trouble relaxing at night,Anxiety
731,feeling on edge,Anxiety
732,feeling tense for no reason,Anxiety
733,I am feeling happy,Normal
734,I am hungry,Normal
735,feeling off lately,Normal
736,I am having gas trouble,Normal
737,I am having gas trouble,Normal
738,I am having gas trouble,Normal
739,Cannot learn anything properly,Normal
740,Cannot learn anything properly,Normal
741,Cannot learn anything properly,Normal
742,Cannot learn anything properly,Normal
743,Feeling sad,Normal
744,Losing my sleep,Normal
745,Not feeling hungry,Normal
746,Not feeling hungry,Normal
747,Not feeling hungry,Normal
748,Not feeling hungry,Normal
749,feeling off lately,Normal
750,feeling off lately,Normal
751,Cannot understand a problem ,Normal
752,Feeling tired,Normal
753,Feeling tired,Normal
754,Feeling tired,Normal
755,Feeling tired,Normal
756,Feeling tired,Normal
757,feeling fresh,Normal
758,feeling off lately,Normal
759,Not feeling the vibe,Normal
760,Need a fresh start but stuck somewhere,Normal
761,feeling off lately,Normal
762,feeling off lately,Normal
763,feeling off lately,Normal
764,feeling off lately,Normal
765,feeling off lately,Normal
766,feeling off lately,Normal
767,feeling off lately,Normal
768,feeling off lately,Normal
769,feeling off lately,Normal
770,feeling off lately,Normal
771,feeling off lately,Normal
772,feeling off lately,Normal
773,feeling off lately,Normal
774,feeling off lately,Normal
775,feeling off lately,Normal
776,feeling off lately,Normal
777,feeling off lately,Normal
778,feeling off lately,Normal
779,feeling off lately,Normal
780,feeling off lately,Normal
781,feeling off lately,Normal
782,feeling off lately,Normal
783,feeling off lately,Normal
784,feeling off lately,Normal
785,feeling off lately,Normal
786,feeling off lately,Normal
787,feeling off lately,Normal
788,feeling off lately,Normal
789,feeling off lately,Normal
790,feeling off lately,Normal
791,feeling off lately,Normal
792,feeling off lately,Normal
793,feeling off lately,Normal
794,feeling off lately,Normal
795,feeling off lately,Normal
796,feeling off lately,Normal
797,feeling off lately,Normal
798,feeling off lately,Normal
799,feeling off lately,Normal
800,feeling off lately,Normal
801,feeling off lately,Normal
802,feeling off lately,Normal
803,feeling off lately,Normal
804,feeling off lately,Normal
805,feeling off lately,Normal
806,feeling off lately,Normal
807,feeling off lately,Normal
808,feeling off lately,Normal
809,feeling off lately,Normal
810,feeling off lately,Normal
811,feeling off lately,Normal
812,feeling off lately,Normal
813,feeling off lately,Normal
814,feeling off lately,Normal
815,feeling off lately,Normal
816,feeling off lately,Normal
817,feeling off lately,Normal
818,feeling off lately,Normal
819,feeling off lately,Normal
820,feeling off lately,Normal
821,feeling off lately,Normal
822,feeling off lately,Normal
823,feeling off lately,Normal
824,feeling off lately,Normal
825,feeling off lately,Normal
826,feeling off lately,Normal
827,feeling off lately,Normal
828,feeling off lately,Normal
829,feeling off lately,Normal
830,feeling off lately,Normal
831,feeling off lately,Normal
832,feeling off lately,Normal
833,feeling off lately,Normal
834,feeling off lately,Normal
835,feeling off lately,Normal
836,feeling off lately,Normal
837,feeling off lately,Normal
838,feeling off lately,Normal
839,feeling off lately,Normal
840,feeling off lately,Normal
841,feeling off lately,Normal
842,feeling off lately,Normal
843,feeling off lately,Normal
844,feeling off lately,Normal
845,feeling off lately,Normal
846,feeling off lately,Normal
847,feeling off lately,Normal
848,feeling off lately,Normal
849,feeling off lately,Normal
850,feeling off lately,Normal
851,feeling off lately,Normal
852,feeling off lately,Normal
853,feeling off lately,Normal
854,feeling off lately,Normal
855,feeling off lately,Normal
856,feeling off lately,Normal
857,feeling off lately,Normal
858,feeling off lately,Normal
859,feeling off lately,Normal
860,feeling off lately,Normal
861,feeling off lately,Normal
862,feeling off lately,Normal
